,0
0,1.0
1,1.0
2,1.0
3,0.0
4,1.0
5,0.0
6,0.2
7,0.6
8,0.6
9,0.4
10,1.0
11,0.5
12,0.4
13,1.0
14,1.0
15,0.3
16,0.1
17,1.0
18,0.2
19,1.0
20,1.0
21,0.2
22,0.2
23,1.0
24,0.4
25,0.7
26,0.3
27,0.3
28,1.0
29,0.4
30,0.1
31,0.9
32,1.0
33,0.1
34,0.0
35,0.3
36,0.3
37,0.5
38,1.0
39,0.3
40,1.0
41,0.4
42,1.0
43,1.0
44,0.1
45,1.0
46,1.0
47,1.0
48,1.0
49,0.0
50,1.0
51,1.0
52,1.0
53,0.2
54,1.0
55,0.0
56,0.1
57,1.0
58,0.2
59,0.2
60,0.8
61,0.9
62,1.0
63,0.4
64,1.0
65,1.0
66,0.0
67,1.0
68,0.0
69,0.0
70,0.4
71,0.1
72,0.1
73,0.3
74,1.0
75,0.5
76,0.6
77,1.0
78,0.3
79,0.3
80,1.0
81,0.1
82,0.1
83,1.0
84,1.0
85,0.4
86,0.7
87,1.0
88,1.0
89,0.5
90,1.0
91,0.7
92,0.0
93,1.0
94,1.0
95,0.1
96,1.0
97,0.1
98,1.0
99,1.0
100,1.0
101,0.1
102,1.0
103,1.0
104,0.3
105,0.2
106,0.4
107,0.2
108,1.0
109,1.0
110,1.0
111,1.0
112,1.0
113,1.0
114,1.0
115,0.8
116,0.0
117,1.0
118,0.1
119,1.0
120,0.1
121,1.0
122,0.3
123,1.0
124,0.5
125,0.1
126,1.0
127,0.6
128,0.1
129,0.0
130,0.4
131,0.6
132,1.0
133,0.5
134,1.0
135,1.0
136,0.1
137,1.0
138,1.0
139,1.0
140,0.8
141,1.0
142,1.0
143,1.0
144,1.0
145,0.0
146,0.2
147,1.0
148,0.4
149,1.0
150,1.0
151,1.0
152,1.0
153,0.1
154,0.2
155,1.0
156,0.2
157,1.0
158,1.0
159,1.0
160,0.8
161,0.1
162,1.0
163,1.0
164,0.2
165,0.0
166,0.9
167,1.0
168,0.9
169,1.0
170,0.2
171,1.0
172,0.2
173,0.1
174,1.0
175,0.5
176,0.2
177,0.8
178,1.0
179,0.6
180,0.3
181,0.6
182,0.0
183,0.2
184,0.1
185,1.0
186,1.0
187,0.2
188,0.2
189,0.3
190,1.0
191,1.0
192,0.3
193,0.2
194,0.8
195,1.0
196,0.6
197,0.1
198,0.7
199,0.2
200,1.0
201,0.1
202,0.2
203,0.3
204,1.0
205,0.2
206,1.0
207,0.6
208,1.0
